iter	Passed	Remaining
645	2810	1540
646	2815	1535
647	2819	1531
648	2824	1527
649	2828	1522
650	2832	1518
651	2836	1514
652	2840	1509
653	2844	1504
654	2848	1500
655	2852	1496
656	2856	1491
657	2860	1486
658	2864	1482
659	2869	1478
660	2873	1473
661	2877	1468
662	2880	1464
663	2885	1460
664	2889	1455
665	2893	1450
666	2897	1446
667	2901	1441
668	2905	1437
669	2909	1433
670	2913	1428
671	2917	1424
672	2921	1419
673	2925	1415
674	2930	1410
675	2934	1406
676	2938	1401
677	2942	1397
678	2947	1393
679	2951	1388
680	2955	1384
681	2959	1379
682	2964	1375
683	2968	1371
684	2972	1366
685	2976	1362
686	2980	1358
687	2984	1353
688	2988	1348
689	2993	1344
690	2997	1340
691	3001	1335
692	3005	1331
693	3009	1326
694	3013	1322
695	3017	1318
696	3021	1313
697	3026	1309
698	3031	1305
699	3035	1300
700	3041	1297
701	3045	1292
702	3049	1288
703	3053	1283
704	3058	1279
705	3061	1275
706	3065	1270
707	3069	1266
708	3073	1261
709	3077	1257
710	3081	1252
711	3086	1248
712	3089	1243
713	3093	1239
714	3097	1234
715	3102	1230
716	3106	1225
717	3110	1221
718	3114	1217
719	3118	1212
720	3124	1209
721	3128	1204
722	3133	1200
723	3137	1196
724	3141	1191
725	3145	1187
726	3150	1183
727	3154	1178
728	3158	1174
729	3162	1169
730	3167	1165
731	3170	1160
732	3175	1156
733	3178	1152
734	3183	1147
735	3187	1143
736	3191	1138
737	3195	1134
738	3199	1129
739	3203	1125
740	3207	1121
741	3213	1117
742	3217	1112
743	3221	1108
744	3225	1104
745	3230	1099
746	3234	1095
747	3238	1091
748	3243	1086
749	3247	1082
750	3251	1077
751	3255	1073
752	3259	1069
753	3264	1064
754	3268	1060
755	3272	1056
756	3276	1051
757	3280	1047
758	3285	1043
759	3288	1038
760	3294	1034
761	3297	1030
762	3301	1025
763	3305	1021
764	3310	1016
765	3314	1012
766	3318	1008
767	3323	1003
768	3327	999
769	3330	994
770	3334	990
771	3339	986
772	3343	981
773	3348	977
774	3352	973
775	3356	968
776	3360	964
777	3364	960
778	3368	955
779	3372	951
780	3376	946
781	3380	942
782	3385	938
783	3389	933
784	3393	929
785	3396	924
786	3400	920
787	3405	916
788	3409	911
789	3413	907
790	3418	903
791	3422	898
792	3426	894
793	3430	890
794	3435	885
795	3438	881
796	3442	876
797	3446	872
798	3450	868
799	3455	863
800	3459	859
801	3463	854
802	3467	850
803	3471	846
804	3475	841
805	3480	837
806	3484	833
807	3488	829
808	3492	824
809	3497	820
810	3501	816
811	3505	811
812	3510	807
813	3514	803
814	3518	798
815	3522	794
816	3527	790
817	3531	785
818	3535	781
819	3539	777
820	3544	772
821	3548	768
822	3552	764
823	3556	759
824	3561	755
825	3565	751
826	3569	746
827	3573	742
828	3577	737
829	3581	733
830	3585	729
831	3590	724
832	3594	720
833	3598	716
834	3602	711
835	3606	707
836	3610	703
837	3614	698
838	3618	694
839	3624	690
840	3628	686
841	3632	681
842	3636	677
843	3640	672
844	3644	668
845	3648	664
846	3653	659
847	3657	655
848	3661	651
849	3665	646
850	3670	642
851	3674	638
852	3678	633
853	3682	629
854	3686	625
855	3690	620
856	3694	616
857	3698	612
858	3703	607
859	3707	603
860	3711	599
861	3715	594
862	3719	590
863	3723	586
864	3727	581
865	3732	577
866	3736	573
867	3740	568
868	3744	564
869	3749	560
870	3753	555
871	3757	551
872	3761	547
873	3765	542
874	3769	538
875	3773	534
876	3777	529
877	3782	525
878	3786	521
879	3790	516
880	3794	512
881	3798	508
882	3803	503
883	3807	499
884	3811	495
885	3816	491
886	3819	486
887	3823	482
888	3828	478
889	3832	473
890	3836	469
891	3840	465
892	3845	460
893	3849	456
894	3853	452
895	3857	447
896	3861	443
897	3865	439
898	3869	434
899	3873	430
900	3877	426
901	3881	421
902	3885	417
903	3890	413
904	3894	408
905	3898	404
906	3902	400
907	3907	395
908	3911	391
909	3915	387
910	3919	382
911	3924	378
912	3928	374
913	3932	370
914	3936	365
915	3944	361
916	3951	357
917	3957	353
918	3962	349
919	3966	344
920	3970	340
921	3974	336
922	3980	332
923	3984	327
924	3988	323
925	3992	319
926	3996	314
927	4000	310
928	4004	306
929	4009	301
930	4013	297
931	4017	293
932	4021	288
933	4026	284
934	4030	280
935	4034	275
936	4038	271
937	4042	267
938	4046	262
939	4051	258
940	4054	254
941	4059	249
942	4063	245
943	4067	241
944	4071	236
945	4075	232
946	4081	228
947	4085	224
948	4089	219
949	4093	215
950	4097	211
951	4103	206
952	4107	202
953	4111	198
954	4115	193
955	4119	189
956	4123	185
957	4127	180
958	4131	176
959	4136	172
960	4140	168
961	4144	163
962	4148	159
963	4153	155
964	4157	150
965	4161	146
966	4165	142
967	4170	137
968	4174	133
969	4177	129
970	4182	124
971	4185	120
972	4189	116
973	4194	111
974	4198	107
975	4202	103
976	4206	99
977	4210	94
978	4215	90
979	4220	86
980	4224	81
981	4228	77
982	4232	73
983	4236	68
984	4240	64
985	4244	60
986	4249	55
987	4253	51
988	4256	47
989	4261	43
990	4265	38
991	4269	34
992	4273	30
993	4278	25
994	4282	21
995	4286	17
996	4291	12
997	4295	8
998	4299	4
999	4303	0
